Company_Code,Company_Name,Metric_Category,Metric_Name,Claimed_Value,Metric_Unit,Claim_Verified,Verification_Details,Discrepancy_Detected,Discrepancy_Level,Trust_Score,Risk_Score,Actual_Environmental_Score,Analysis_Date
COFORGE,Coforge,Social,Training Hours per Employee,3.0,Hours,Reported,Social metric: 3.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Social,Health and Safety Incidents,2024.0,Count,Reported,Social metric: 2024.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Social,CSR Expenditure,,Crores INR,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Governance,Board Size,6.0,Count,Reported,Governance metric: 6.0,False,None,6.0,1,,2026-09-03
COFORGE,Coforge,Governance,Independent Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Governance,Female Directors Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Governance,Board Meeting Frequency,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Governance,Audit Committee Size,,Count,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
COFORGE,Coforge,Governance,Ethics Policy Violations,10.0,Count,Reported,Governance metric: 10.0,False,None,6.0,1,,2026-09-03
LTTS,L&T Technology Services,Environmental,Total Energy Consumption,25.0,GWh,Reported,Environmental metric: 25.0,False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Environmental,Renewable Energy Percentage,10.6,%,Verified,Low renewable claim (10.6%) consistent with env score (2.0/10),False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Environmental,Total Water Consumption,,KL,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Environmental,Water Recycled Percentage,10.6,%,Reported,Environmental metric: 10.6,False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Environmental,Total Waste Generated,,MT,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Environmental,Waste Recycled Percentage,10.6,%,Reported,Environmental metric: 10.6,False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Social,Total Employees,100.0,Count,Reported,Social metric: 100.0,False,None,6.0,1,2.0,2026-09-03
LTTS,L&T Technology Services,Social,Female Employee Percentage,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
LTTS,L&T Technology Services,Social,Employee Turnover Rate,,%,Not Disclosed,Metric not reported - transparency concern,False,None,3.0,2,,2026-09-03
