Company_Code,Company_Name,Metric_Category,Metric_Name,Metric_Value,Unit,Page_Number,Verified,Extraction_Method,Confidence_Score,Validation_Status,Needs_Manual_Review,Extraction_Date,Notes
PERSISTENT,Persistent Systems,Social,Employee Turnover Rate,90.0,%,3.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: turnover; Within expected range
PERSISTENT,Persistent Systems,Social,Training Hours per Employee,,Hours,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Social,Health and Safety Incidents,2024.0,Count,18.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: lost time injury; Within expected range
PERSISTENT,Persistent Systems,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Board Size,9.0,Count,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: board of directors; Within expected range
PERSISTENT,Persistent Systems,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
PERSISTENT,Persistent Systems,Governance,Ethics Policy Violations,0.0,Count,5.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: complaints; Within expected range
COFORGE,Coforge,Environmental,Total Energy Consumption,,GWh,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Renewable Energy Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Total Water Consumption,,KL,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Water Recycled Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Environmental,Total Waste Generated,5.0,MT,20.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: hazardous waste; Within expected range
COFORGE,Coforge,Environmental,Waste Recycled Percentage,100.0,%,2.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: recycling; Within expected range
COFORGE,Coforge,Social,Total Employees,1279.0,Count,5.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: total employees; Within expected range
COFORGE,Coforge,Social,Female Employee Percentage,0.11,%,30.0,Auto-extracted (Needs Review),keyword_context,0.4,Outlier/Suspect,True,2026-09-03,"Very low value, verify manually; Method: keyword_context; Keyword: female employees"
COFORGE,Coforge,Social,Employee Turnover Rate,90.0,%,4.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: turnover; Within expected range
COFORGE,Coforge,Social,Training Hours per Employee,3.0,Hours,2.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: skill development; Within expected range
COFORGE,Coforge,Social,Health and Safety Incidents,2024.0,Count,24.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: safety incidents; Within expected range
COFORGE,Coforge,Social,CSR Expenditure,,Crores INR,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Board Size,6.0,Count,5.0,Auto-extracted,keyword_context,0.75,Valid,False,2026-09-03,Method: keyword_context; Keyword: board of directors; Within expected range
COFORGE,Coforge,Governance,Independent Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Female Directors Percentage,,%,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Board Meeting Frequency,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Audit Committee Size,,Count,,Not found,not_found,0.2,Not Found,True,2026-09-03,Not found in PDF. Check manually.
COFORGE,Coforge,Governance,Ethics Policy Violations,10.0,Count,8.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: complaints; Within expected range
LTTS,L&T Technology Services,Environmental,Total Energy Consumption,25.0,GWh,9.0,Auto-extracted,table,0.9,Valid,False,2026-09-03,Method: table; Keyword: total energy; Within expected range
